id,order_id,tenant,flow,sender,hub,dispatch_pool,vehicle_type,start_time,end_time,title,route_description,tags,overview,content,type,start,end,service_fee,start_task_validation,end_task_validation,status_group
1,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,0.01,0,0,1
2,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,0.01,0,0,1
3,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,0.01,0,0,1
4,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,6025.40,0,0,1
5,2929,854,78,wtPIIpPo,lS,7,R,2024-03-19 15:21:30,2021-08-10 04:39:42,gUJv8YIrSFn,uQY,f,0g0E,fZ,sUsD0EdV3ylGsHx,3,o,6025.40,CC0f,aoCxd,7
6,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,1.50,0,0,1
7,7105,122,43,DZ2LqpE,0CI3,100,wvx,2022-08-20 10:16:39,2021-10-14 18:45:31,IW9T,fD5nEi2kKAgOZP9tguG,BNZIjVp,VUb1ni,Vp6hUd,Dqr88n9,W,LC5Sd,1.50,mr,AE8,8
8,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,10000.00,0,0,1
9,9999,644,52,6,2,57,12p,2023-09-06 23:35:53,2021-04-26 18:48:49,k,s6,Nb7fGP9gxPT0,j,IpPElJ6I6zdvUJVPaBEmZ9115ZRWlVoB,DxrA,ptj3lspkdpWoR,5,10000.00,9,ThIfSuD,2
10,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,1.00,0,0,1
11,7994,91,86,Pi,sF,14,VhWT6,2022-01-08 21:32:01,2023-06-22 23:03:28,uWmT2JSo,k7vqOAF696yfCiPC,geb,a2Z4GhhDPzZZpqp,W7iG5,owi,HbLqWs3,h2c6EeW9QOaDVivoh,1.00,dK,waaVvHi,4
12,1,1,1,0,0,1,0,2020-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,0,0,0,0,7118.18,0,0,1
13,6582,949,59,UJxG,f,53,4GuUAJBnK2bs,2023-07-09 17:16:23,2022-11-24 16:49:44,Zv,2XeZbYQ,IoJhrs7j,LHB4,sDjEeDsZUEs,Vv0gGaxq,laF,gX,7118.18,r,1U,1
14,6582,949,59,UJxG,f,53,4GuUAJBnK2bs,2022-11-24 16:49:44,2022-11-24 16:49:44,Zv,2XeZbYQ,IoJhrs7j,LHB4,sDjEeDsZUEs,Vv0gGaxq,laF,gX,7118.18,r,1U,1
15,6582,949,59,UJxG,f,53,4GuUAJBnK2bs,2022-11-24 16:49:44,2022-11-24 16:49:44,Zv,2XeZbYQ,IoJhrs7j,LHB4,Vv0gGaxq,Vv0gGaxq,laF,gX,7118.18,r,1U,1
16,6582,949,59,UJxG,IoJhrs7j,53,4GuUAJBnK2bs,2022-11-24 16:49:44,2022-11-24 16:49:44,Zv,2XeZbYQ,IoJhrs7j,LHB4,Vv0gGaxq,Vv0gGaxq,laF,gX,7118.18,r,1U,1
17,6582,949,59,UJxG,gX,53,4GuUAJBnK2bs,2022-11-24 16:49:44,2022-11-24 16:49:44,Zv,2XeZbYQ,IoJhrs7j,LHB4,Vv0gGaxq,Vv0gGaxq,laF,gX,7118.18,r,1U,1
18,6582,949,59,Vv0gGaxq,gX,53,4GuUAJBnK2bs,2022-11-24 16:49:44,2022-11-24 16:49:44,Zv,2XeZbYQ,IoJhrs7j,LHB4,Vv0gGaxq,Vv0gGaxq,laF,gX,7118.18,r,1U,1
19,6922,136,84,IF7mdLtibsuc,D,90,CJ,2021-12-03 00:50:42,2023-03-05 07:15:56,R3mOWbdo,h,yv1r8a,Zp,JEN8J0gDV1,w1O,OEeC,w,2.00,Zc7lj4,Nanw,9
20,6922,136,84,IF7mdLtibsuc,D,90,CJ,2021-12-03 00:50:42,2021-12-03 00:50:42,R3mOWbdo,h,yv1r8a,Zp,JEN8J0gDV1,w1O,OEeC,w,2.00,Zc7lj4,Nanw,9
21,6922,136,84,IF7mdLtibsuc,D,90,CJ,2021-12-03 00:50:42,2021-12-03 00:50:42,R3mOWbdo,h,yv1r8a,D,JEN8J0gDV1,w1O,OEeC,w,2.00,Zc7lj4,Nanw,9
22,3168,786,79,6KRnI,WdjQ,52,5g8he,2020-06-30 19:09:03,2021-12-07 19:17:20,pkOAsRQ1eTgBk,T,Pe,L,Pqrt,Gyz,m89BXvv,J,10000.00,ZduuNA,iOmblf5,1
23,3168,786,79,6KRnI,WdjQ,52,5g8he,2020-06-30 19:09:03,2020-06-30 19:09:03,pkOAsRQ1eTgBk,T,Pe,L,Pqrt,Gyz,m89BXvv,J,10000.00,ZduuNA,iOmblf5,1
24,3168,786,79,6KRnI,WdjQ,52,5g8he,2020-06-30 19:09:03,2020-06-30 19:09:03,pkOAsRQ1eTgBk,T,Pe,L,pkOAsRQ1eTgBk,Gyz,m89BXvv,J,10000.00,ZduuNA,iOmblf5,1
25,3168,786,79,6KRnI,WdjQ,52,5g8he,2020-06-30 19:09:03,2020-06-30 19:09:03,pkOAsRQ1eTgBk,T,Pe,L,pkOAsRQ1eTgBk,J,m89BXvv,J,10000.00,ZduuNA,iOmblf5,1
26,3168,786,79,6KRnI,WdjQ,52,5g8he,2020-06-30 19:09:03,2020-06-30 19:09:03,pkOAsRQ1eTgBk,T,Pe,L,pkOAsRQ1eTgBk,J,m89BXvv,J,10000.00,pkOAsRQ1eTgBk,iOmblf5,1
27,8054,237,57,XU79beaVd1uYTJ3C1,5X0qF,94,THz2yHcYft,2024-05-20 04:23:10,2023-04-14 03:47:31,jeW5kj,4z,6ogSotgXd4,rgljVv8Vu,5,C,HjGgeS2KLMs,qw,1.50,ZN,UPiIhRSRx5,4
28,8054,237,57,XU79beaVd1uYTJ3C1,5X0qF,94,5,2024-05-20 04:23:10,2023-04-14 03:47:31,jeW5kj,4z,6ogSotgXd4,rgljVv8Vu,5,C,HjGgeS2KLMs,qw,1.50,ZN,UPiIhRSRx5,4
29,8054,237,57,XU79beaVd1uYTJ3C1,5X0qF,94,5,2023-04-14 03:47:31,2023-04-14 03:47:31,jeW5kj,4z,6ogSotgXd4,rgljVv8Vu,5,C,HjGgeS2KLMs,qw,1.50,ZN,UPiIhRSRx5,4
30,8054,237,57,XU79beaVd1uYTJ3C1,5X0qF,94,5,2023-04-14 03:47:31,2023-04-14 03:47:31,jeW5kj,4z,6ogSotgXd4,rgljVv8Vu,5,C,HjGgeS2KLMs,qw,1.50,qw,UPiIhRSRx5,4
31,8054,237,57,XU79beaVd1uYTJ3C1,5X0qF,57,5,2023-04-14 03:47:31,2023-04-14 03:47:31,jeW5kj,4z,6ogSotgXd4,rgljVv8Vu,5,C,HjGgeS2KLMs,qw,1.50,qw,UPiIhRSRx5,4
32,5521,824,29,IA,Mi,1,1Gps0,2024-11-03 17:16:15,2020-11-17 11:17:53,41e4LqVw0,lD,qPpl1K,7y7ik,bNJkZqEF,Y,xMg3FzVML0UxI8z215eHXlAoBcX,YKM,6664.67,43M,w1O,3
33,5521,824,29,IA,Mi,1,1Gps0,2024-11-03 17:16:15,2024-11-03 17:16:15,41e4LqVw0,lD,qPpl1K,7y7ik,bNJkZqEF,Y,xMg3FzVML0UxI8z215eHXlAoBcX,YKM,6664.67,43M,w1O,3
34,5521,824,29,IA,Mi,1,Mi,2024-11-03 17:16:15,2024-11-03 17:16:15,41e4LqVw0,lD,qPpl1K,7y7ik,bNJkZqEF,Y,xMg3FzVML0UxI8z215eHXlAoBcX,YKM,6664.67,43M,w1O,3
35,5521,824,29,IA,Mi,1,Mi,2024-11-03 17:16:15,2024-11-03 17:16:15,41e4LqVw0,lD,qPpl1K,7y7ik,bNJkZqEF,Y,xMg3FzVML0UxI8z215eHXlAoBcX,qPpl1K,6664.67,43M,w1O,3
36,5521,824,29,IA,Mi,1,Mi,2024-11-03 17:16:15,2024-11-03 17:16:15,41e4LqVw0,lD,qPpl1K,7y7ik,bNJkZqEF,Y,Mi,qPpl1K,6664.67,43M,w1O,3
